Year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Adult,Biography,Fantasy,GameShow,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
2014,1537,817,563,5045,666,5488,4548,198,1175,156,193,119,786,349,68,111,251,1140,253,140,58,293,760,339,23,16
2015,1615,784,605,5264,747,6049,4921,202,932,150,190,129,794,318,81,139,226,1111,269,163,95,350,869,329,25,21
2016,1768,776,680,5361,850,6557,5192,306,834,183,197,121,875,301,75,145,294,1056,283,180,93,331,824,400,28,18
2017,1864,788,671,5233,855,6728,5540,251,766,203,206,120,1007,323,106,165,288,1060,301,224,74,291,855,413,24,26
2018,1827,772,748,5056,882,6562,5841,251,702,221,222,137,958,300,100,180,315,1021,351,181,79,351,934,519,24,23
2019,1790,764,801,4738,941,6772,5865,263,675,224,209,127,939,326,95,166,266,964,324,172,93,268,906,462,27,29
2020,1528,674,750,4473,763,6304,5206,336,518,227,276,124,919,350,96,174,280,951,365,191,124,333,1197,457,36,32
2021,1828,725,831,4174,950,6573,6064,224,555,238,295,141,1034,343,125,196,397,969,402,211,68,312,956,570,19,24
2022,1883,735,748,4406,1048,6378,6535,154,612,197,239,126,1189,268,95,218,201,939,382,202,43,255,578,688,27,38
2023,1791,634,683,4045,968,5772,6111,83,485,183,175,126,1144,225,93,241,133,670,424,193,24,194,381,685,28,32
2024,795,274,246,1337,332,1688,1991,13,164,73,49,43,473,48,20,63,42,171,124,98,4,37,72,316,10,25
